"","cells","sc3.Initial","Monocle.Initial","Seurat.Initial","sc3.33","Monocle.33","Seurat.33","sc3.66","Monocle.66","Seurat.66","sc3.90","Monocle.90","Seurat.90","sc3.Final","Monocle.Final","Seurat.Final"
"4571","SM-GE66L_S167_E1-50",6,31,2,6,31,2,6,31,2,6,31,2,6,31,2
"4572","SM-GE66L_S168_E1-50",10,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"4573","SM-GE66L_S170_E1-50",15,24,3,15,24,3,15,7,3,15,7,3,11,7,3
"4574","SM-GE66L_S171_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"4575","SM-GE66L_S172_E1-50",6,33,2,6,33,2,6,31,2,6,31,2,6,31,2
"4576","SM-GE66L_S174_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"4577","SM-GE66L_S175_E1-50",8,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"4578","SM-GE66L_S176_E1-50",10,12,1,8,12,1,8,12,1,8,12,1,8,12,1
"4579","SM-GE66L_S177_E1-50",7,27,8,7,27,8,6,27,8,6,27,8,6,13,8
"4580","SM-GE66L_S178_E1-50",40,11,6,40,11,6,40,11,6,38,11,6,38,11,6
"4581","SM-GE66L_S179_E1-50",40,11,6,40,11,6,40,11,6,38,11,6,38,11,6
"4582","SM-GE66L_S180_E1-50",25,26,8,25,26,8,25,26,8,25,26,8,3,13,8
"4583","SM-GE66L_S181_E1-50",10,16,1,8,8,1,8,8,1,8,8,1,8,8,1
"4584","SM-GE66L_S182_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"4585","SM-GE66L_S183_E1-50",40,18,6,40,18,6,40,18,6,38,11,6,38,11,6
"4586","SM-GE66L_S184_E1-50",15,10,3,15,10,3,15,7,3,15,7,3,11,7,3
"4587","SM-GE66L_S185_E1-50",12,10,3,12,10,3,11,7,3,11,7,3,11,7,3
"4588","SM-GE66L_S186_E1-50",24,19,15,24,19,15,24,19,15,24,19,15,24,19,15
"4589","SM-GE66L_S187_E1-50",14,21,17,14,21,17,14,21,17,14,21,17,14,21,17
"4590","SM-GE66L_S188_E1-50",1,22,4,1,22,4,1,22,4,1,22,4,1,22,4
"4591","SM-GE66L_S189_E1-50",21,1,11,21,1,11,21,1,11,20,1,11,20,1,11
"4592","SM-GE66L_S190_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"4593","SM-GE66L_S191_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"4594","SM-GE66L_S192_E1-50",8,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"4595","SM-GE66M_S033_E1-50",22,14,14,22,14,14,22,14,14,22,14,14,22,14,14
"4596","SM-GE66M_S034_E1-50",38,11,6,38,11,6,38,11,6,38,11,6,38,11,6
"4597","SM-GE66M_S035_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"4598","SM-GE66M_S036_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"4599","SM-GE66M_S037_E1-50",7,31,2,7,31,2,6,31,2,6,31,2,6,31,2
"4600","SM-GE66M_S038_E1-50",16,15,5,16,15,5,16,15,5,16,15,5,16,3,5
"4601","SM-GE66M_S039_E1-50",8,29,1,8,8,1,8,8,1,8,8,1,8,8,1
"4602","SM-GE66M_S040_E1-50",37,17,7,37,17,7,37,17,7,36,17,7,36,17,7
"4603","SM-GE66M_S041_E1-50",10,8,1,8,8,1,8,8,1,8,8,1,8,8,1
"4604","SM-GE66M_S042_E1-50",23,9,10,23,9,10,23,9,10,23,9,10,23,4,10
