"","80","100","120","cells"
"400",5,12,27,"Evan_MC_A1_cell76245"
"401",79,86,10,"Evan_MC_A1_cell76619"
"402",19,90,45,"Evan_MC_A1_cell76833"
"403",24,20,51,"Evan_MC_A1_cell76967"
"404",26,14,51,"Evan_MC_A1_cell77020"
"405",78,9,26,"Evan_MC_A1_cell77079"
"406",31,25,75,"Evan_MC_A1_cell77182"
"407",5,10,27,"Evan_MC_A1_cell77744"
"408",12,35,66,"Evan_MC_A1_cell77759"
"409",18,2,47,"Evan_MC_A1_cell78245"
"410",12,4,66,"Evan_MC_A1_cell78387"
"411",72,96,118,"Evan_MC_A1_cell78412"
"412",70,80,119,"Evan_MC_A1_cell78520"
"413",12,13,44,"Evan_MC_A1_cell78564"
"414",66,78,112,"Evan_MC_A1_cell78623"
"415",73,95,21,"Evan_MC_A1_cell78775"
"416",24,14,49,"Evan_MC_A1_cell78796"
"417",53,51,97,"Evan_MC_A1_cell78806"
"418",58,68,58,"Evan_MC_A1_cell78944"
"419",63,56,111,"Evan_MC_A1_cell79101"
"420",58,64,58,"Evan_MC_A1_cell79188"
"421",20,20,56,"Evan_MC_A1_cell79412"
"422",52,44,105,"Evan_MC_A1_cell79498"
"423",57,74,113,"Evan_MC_A1_cell79765"
"424",53,50,93,"Evan_MC_A1_cell79767"
"425",71,40,92,"Evan_MC_A1_cell79790"
"426",28,64,58,"Evan_MC_A1_cell79811"
"427",19,2,45,"Evan_MC_A1_cell80169"
"428",49,40,92,"Evan_MC_A1_cell80260"
"429",12,35,99,"Evan_MC_A1_cell80343"
"430",73,95,21,"Evan_MC_A1_cell80566"
"431",15,2,42,"Evan_MC_A1_cell80835"
"432",20,25,51,"Evan_MC_A1_cell80900"
"433",18,2,47,"Evan_MC_A1_cell81184"
"434",6,12,27,"Evan_MC_A1_cell81290"
"435",53,50,93,"Evan_MC_A1_cell81916"
"436",15,12,42,"Evan_MC_A1_cell81944"
"437",49,40,92,"Evan_MC_A1_cell82150"
"438",49,40,92,"Evan_MC_A1_cell82346"
"439",49,40,92,"Evan_MC_A1_cell82519"
"440",49,40,92,"Evan_MC_A1_cell82546"
"441",32,14,36,"Evan_MC_A1_cell82681"
"442",49,40,92,"Evan_MC_A1_cell82757"
"443",6,10,27,"Evan_MC_A1_cell82827"
"444",73,95,21,"Evan_MC_A1_cell82866"
"445",79,84,8,"Evan_MC_A1_cell82929"
"446",1,13,66,"Evan_MC_A1_cell83115"
"447",5,17,27,"Evan_MC_A1_cell83195"
"448",27,20,56,"Evan_MC_A1_cell83376"
"449",49,40,25,"Evan_MC_A1_cell83463"
"450",79,84,8,"Evan_MC_A1_cell83520"
"451",49,40,92,"Evan_MC_A1_cell83802"
"452",78,9,31,"Evan_MC_A1_cell83840"
"453",7,9,35,"Evan_MC_A1_cell84042"
"454",12,24,99,"Evan_MC_A1_cell84108"
"455",49,40,92,"Evan_MC_A1_cell84145"
"456",49,40,92,"Evan_MC_A1_cell84205"
"457",20,20,56,"Evan_MC_A1_cell84347"
"458",79,84,8,"Evan_MC_A1_cell84616"
"459",42,25,75,"Evan_MC_A1_cell84618"
"460",17,4,43,"Evan_MC_A1_cell84842"
"461",54,49,95,"Evan_MC_A1_cell84926"
"462",68,82,119,"Evan_MC_A1_cell84939"
"463",19,79,47,"Evan_MC_A1_cell84978"
"464",20,20,56,"Evan_MC_A1_cell85281"
"465",20,14,40,"Evan_MC_A1_cell85375"
"466",19,8,45,"Evan_MC_A1_cell85429"
"467",12,24,99,"Evan_MC_A1_cell85613"
"468",4,10,27,"Evan_MC_A1_cell85743"
"469",8,9,31,"Evan_MC_A1_cell85813"
"470",65,78,4,"Evan_MC_A1_cell85908"
"471",12,35,77,"Evan_MC_A1_cell85992"
"472",19,79,45,"Evan_MC_A1_cell86535"
"473",64,99,3,"Evan_MC_A1_cell86772"
"474",12,24,99,"Evan_MC_A1_cell87420"
"475",6,12,27,"Evan_MC_A1_cell87787"
"476",78,83,105,"Evan_MC_A1_cell88142"
"477",60,74,113,"Evan_MC_A1_cell88166"
"478",68,82,119,"Evan_MC_A1_cell88531"
"479",12,35,66,"Evan_MC_A1_cell88539"
"480",17,4,29,"Evan_MC_A1_cell88693"
"481",79,84,8,"Evan_MC_A1_cell88862"
"482",79,84,8,"Evan_MC_A1_cell89208"
"483",79,84,8,"Evan_MC_A1_cell89354"
"484",63,56,112,"Evan_MC_A1_cell89383"
"485",6,12,27,"Evan_MC_A1_cell89691"
"486",63,56,112,"Evan_MC_A1_cell89939"
"487",70,80,120,"Evan_MC_A1_cell90376"
"488",4,11,28,"Evan_MC_A1_cell90462"
"489",20,14,56,"Evan_MC_A1_cell90702"
"490",52,44,105,"Evan_MC_A1_cell90715"
