"","Rsec","RsecT","cells"
"5479",3,3,"SM-GE66B_S116_E1-50"
"5480",17,17,"SM-GE66B_S117_E1-50"
"5481",19,19,"SM-GE66B_S119_E1-50"
"5482",19,19,"SM-GE66B_S120_E1-50"
"5483",14,14,"SM-GE66B_S121_E1-50"
"5484",3,3,"SM-GE66B_S122_E1-50"
"5485",-1,19,"SM-GE66B_S123_E1-50"
"5486",-1,9,"SM-GE66B_S124_E1-50"
"5487",14,14,"SM-GE66B_S125_E1-50"
"5488",-1,19,"SM-GE66B_S127_E1-50"
"5489",-1,19,"SM-GE66B_S128_E1-50"
"5490",9,9,"SM-GE66B_S129_E1-50"
"5491",-1,3,"SM-GE66B_S130_E1-50"
"5492",18,18,"SM-GE66B_S131_E1-50"
